"Titre","Description","Date","Cote","Fichier tif - 300 dpi","Fichier jpg - 200 dpi","Mention de crédits"
"Rue Saint-Antoine","En direction Est, à l'angle de la rue Saint-David (aujourd'hui disparue). On y aperçoit l'Édifice de The Gazette Printing Co ainsi que des panneaux-réclames de Magic Baking Powder et JJ Joubert Limitée.","Décennie 1920","VM94,SY,SS1,SSS17,D1","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z2.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z2.jpg","Archives de la Ville de Montréal"
"Parc Lafontaine","S/O","Décennie 1930","VM94,SY,SS1,SSS17,D2 ","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z3-4.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z3-4.jpg","Archives de la Ville de Montréal"
"Avenue du Mont-Royal ","En direction est, à partir de l'avenue Papineau. ",1928,"VM94,SY,SS1,SSS17,D3 ","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z4.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z4.jpg","Archives de la Ville de Montréal"
"Rue Drummond","En direction Nord, à partir de la rue Dorchester (devenue boulevard René-Lévesque). On y aperçoit l'enseigne commerciale du Dominion Square Garage de même que le mont Royal à l'arrière-plan.",1928,"VM94,SY,SS1,SSS17,D4","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z5-1.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z5-1.jpg","Archives de la Ville de Montréal"
"Rue Saint-Urbain","En direction Nord, à partir de la rue Vitré (devenue avenue Viger). On y aperçoit le commerce St-Urbain Liquor Grocery, propriété de S. Greenberg, et des enseignes commerciales des bières Ekers, Black Horse et Molson.",1928,"VM94,SY,SS1,SSS17,D5 ","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z6.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z6.jpg","Archives de la Ville de Montréal"
"Avenue du Mont-Royal ","En direction Est, à l'angle de l'avenue des Érables.  On y aperçoit l'édifice abritant le Club Delorimier, un tramway et plusieurs commerces.",1928,"VM94,SY,SS1,SSS17,D6","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z7-1.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z7-1.jpg","Archives de la Ville de Montréal"
"Avenue du Mont-Royal","En direction Ouest, à l'angle de la rue Saint-Denis. On y aperçoit la succursale Mont-Royal de la Banque Canadienne Nationale, un bureau de dentiste, un commerce United Cigar Stores, le Parisian Billard Parlor, l'édifice Carter Inx et un panneau-réclame des cigarettes Guinea Gold.",1928,"VM94,SY,SS1,SSS17,D7","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z8.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z8.jpg","Archives de la Ville de Montréal"
"Pont ferroviaire de la rue de La Montagne","Propriété de la Compagnie Canadienne Nationale des Chemins de Fer (Canadian National Railways).  ",1932,"VM94,SY,SS1,SSS17,D8","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z9-1.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z9-1.jpg","Archives de la Ville de Montréal"
"Rue Kelly (devenue boulevard Henri-Bourassa) avant son pavage","S/O",09-sept.-31,"VM94,SY,SS1,SSS17,D10","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z11.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z11.jpg","Archives de la Ville de Montréal"
"Boulevard Saint-Laurent ","En direction Nord, à partir de la rue Sherbrooke. On y aperçoit un policier faisant la circulation, la pharmacie A.F. Larose et la station-service United Auto Service (U.A.S.).",1932,"VM94,SY,SS1,SSS17,D11","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z12.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z12.jpg","Archives de la Ville de Montréal"
"Boulevard Saint-Laurent coin avenue des Pins","En direction Nord, à partir de la rue de l'Hôtel-Dieu (aujourd'hui avenue des Pins)  On y aperçoit l'édifice abritant le magasin d'alimentation Melachrino et l'Institut Sténographique Perreault au second étage; le salon de barbier Rex, plusieurs autres commerces et un lampadaire à arc.",1932,"VM94,SY,SS1,SSS17,D12","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z13-1.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z13-1.jpg","Archives de la Ville de Montréal"
"Square d'Youville","S/O","Décennie 1920","VM94,SY,SS1,SSS17,D14","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z15-1.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z15-1.jpg","Archives de la Ville de Montréal"
"Construction du Bain Mathieu (2915, rue Ontario Est)","S/O",1931,"VM94,SY,SS1,SSS17,D15","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z16-2.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z16-2.jpg","Archives de la Ville de Montréal"
"Policier à la circulation à l’angle des rues de l'Inspecteur et Saint-Jacques","On y aperçoit des panneaux-réclames des cigarettes Buckingham et Turret, le restaurant Matthew's Lunch, un salon de barbier et autres commerces.","Décennie 1930","VM94,SY,SS1,SSS17,D18","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z19.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z19.jpg","Archives de la Ville de Montréal"
"Palais de justice de Montréal (155, rue Notre-Dame Est)","Construit en 1851 et 1858 et devenu l’édifice Lucien-Saulnier appartenant à la Ville de Montréal.  On y aperçoit le monument Vauquelin.","Décennie 1920","VM94,SY,SS1,SSS17,D19","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z20.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z20.jpg","Archives de la Ville de Montréal"
"Hôtel de ville de Montréal (275, rue Notre-Dame Est)","Reconstruit entre 1922 et 1926, vue prise de la grille d'entrée du Château Ramezay.","Décennie 1930","VM94,SY,SS1,SSS17,D21","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z22.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z22.jpg","Archives de la Ville de Montréal"
"Ancien Marché Saint-Jacques (1125, rue Ontario Est)","On y aperçoit les étals des marchands Henri Desnoyers, Jos. Turgeon, G. Trudel, E. Lapointe, J.U. Bérubé, Jos. A. Giroux et P. Nadon.","Décennie 1920","VM94,SY,SS1,SSS17,D22","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z23-2.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z23-2.jpg","Archives de la Ville de Montréal"
"Rue McGill","En direction sud, à partir de la rue Notre-Dame.  On y aperçoit un tramway; les commerces Café Emile, L.P. Lazare & Co, Landau & Cormack, Imperial Mixture et W.J. Bush & Co; un panneau-réclame de Coca-Cola; de même qu'une vue partielle de l'édifice de la Banque Royale du Canada à la droite de l'image.","Décennie 1930","VM94,SY,SS1,SSS17,D23","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z24.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z24.jpg","Archives de la Ville de Montréal"
"Marché Saint-Jacques (1125 rue Ontario Est)","Construit en 1931.","Décennie 1930","VM94,SY,SS1,SSS17,D24","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z25-1.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z25-1.jpg","Archives de la Ville de Montréal"
"Usine de pompage et réservoir McTavish (815,rue McGregor - aujourd'hui avenue du Docteur-Penfield)","Mis en activité à partir de 1932.","Décennie 1930","VM94,SY,SS1,SSS17,D25","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z26.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z26.jpg","Archives de la Ville de Montréal"
"Marché Saint-Antoine (Côté nord de la rue Saint-Jacques près de la rue de la Montagne)","Construit en 1861 et démoli en 1933.","Décennie 1920","VM94,SY,SS1,SSS17,D26","http://depot.ville.montreal.qc.ca/phototheque-archives/tiff/VM94-Z27-1.tif","http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z27-1.jpg","Archives de la Ville de Montréal"
