rank,score,lane,record_id,title,date,date_period,cote,original_url,exact_places,inferred_places,family_id,aerial_datasets,reasons
1,80.925,old_port,mtl_archives_metadata_13402.json,Port de Montréal et tour de l'horloge / Rhéal Benny . - 24 septembre 1974,1974,1974,VM94-B151,http://depot.ville.montreal.qc.ca/vues-aeriennes-obliques-1960-1969/VM94-B151-001.tif,old_port:port de montréal|old_port:tour de l horloge|old_port:port de montréal|old_port:tour de l horloge,old_port:clock tower|old_port:clock tower,,aerial_obliques_1960_1992,"exact source place signal (4)|model place signal (2)|themes: waterfront, industrial|aerial linkage|original source link|dated record"
2,72.925,old_montreal,mtl_archives_metadata_15068.json,Marché Bonsecours après l'incendie / Rhéal Benny . - 2 août 1976,1976,1976,VM94-B202,http://depot.ville.montreal.qc.ca/vues-aeriennes-obliques-1960-1969/VM94-B202-001.tif,old_montreal:marche bonsecours|old_montreal:bonsecours|old_montreal:marche bonsecours|old_montreal:bonsecours,old_montreal:marche bonsecours|old_montreal:bonsecours,,aerial_obliques_1960_1992,exact source place signal (4)|model place signal (2)|aerial linkage|original source link|dated record
3,68.925,old_montreal,mtl_archives_metadata_12621.json,Église et Marché Bonsecours - Église Notre-Dame - Place Victoria / Raymond Gagnon . - 9 juin 1971,1971,1971,VM94-B095,http://depot.ville.montreal.qc.ca/vues-aeriennes-obliques-1960-1969/VM94-B095-001.tif,old_montreal:marche bonsecours|old_montreal:bonsecours|old_montreal:marche bonsecours|old_montreal:bonsecours,old_montreal:vieux-montreal,,aerial_obliques_1960_1992,exact source place signal (4)|model place signal (1)|aerial linkage|original source link|dated record
4,64.925,old_montreal,mtl_archives_metadata_15914.json,Immeubles de Montréal / Rhéal Benny . - 13 octobre 1977,1977,1977,VM94-B224,http://depot.ville.montreal.qc.ca/vues-aeriennes-obliques-1960-1969/VM94-B224-001.tif,old_montreal:vieux-montreal|old_montreal:place jacques cartier|old_montreal:marche bonsecours|old_montreal:bonsecours,,,aerial_obliques_1960_1992,exact source place signal (4)|aerial linkage|original source link|dated record
5,55.9,both,mtl_archives_metadata_38.json,Marché Bonsecours vu de la rue des Commissaires (devenu rue de la Commune),1922,1922,"VM94,SY,SS1,SSS17,D82",http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z83-B.jpg,old_port:rue de la commune|old_montreal:marche bonsecours|old_montreal:bonsecours|old_port:rue de la commune|old_montreal:marche bonsecours|old_montreal:bonsecours,,,,exact source place signal (6)|original source link|dated record
6,52.925,old_port,mtl_archives_metadata_11927.json,Port de Montréal / Henri Rémillard . - 16 septembre 1966,1966,1966,VM94-B024,http://depot.ville.montreal.qc.ca/vues-aeriennes-obliques-1960-1969/VM94-B024-001.tif,old_port:port de montréal|old_port:port de montréal,,,aerial_obliques_1960_1992,"exact source place signal (2)|themes: waterfront, industrial, transit|aerial linkage|original source link|dated record"
7,52.925,old_port,mtl_archives_metadata_132.json,Vue aérienne oblique du port de Montréal et de la place d'Armes,1925,1925,,http://depot.ville.montreal.qc.ca/vues-aeriennes-1925-1939/VM97-3_01-054.tif,old_port:port de montréal|old_port:port de montréal,,vf-exact_asset-exact-asset-http-depot-ville-montreal-qc-ca-vues-aeriennes-1925-1939-vm97-3-01-0-f0cf506c,aerial_1925_1935,"exact source place signal (2)|themes: waterfront, industrial|aerial linkage|visual family available|original source link|dated record"
8,52.925,old_port,mtl_archives_metadata_141.json,Vue aérienne verticale du secteur du port de Montréal,1930,1930s,,http://depot.ville.montreal.qc.ca/vues-aeriennes-1925-1939/VM97-3_01-031.tif,old_port:port de montréal|old_port:port de montréal,,vf-metadata_duplicate-metadata-duplicate-vue-aerienne-verticale-du-secteur-du-port-de-montreal-1930-9913c47a,aerial_1925_1935,"exact source place signal (2)|themes: waterfront, industrial|aerial linkage|visual family available|original source link|dated record"
9,52.925,old_montreal,mtl_archives_metadata_14814.json,Hôtel de ville et Place Jacques-Cartier / Rhéal Benny . - 19 juin 1975,1975,1975,VM94-B181,http://depot.ville.montreal.qc.ca/vues-aeriennes-obliques-1960-1969/VM94-B181-001.tif,old_montreal:place jacques cartier|old_montreal:place jacques cartier,old_montreal:place jacques cartier|old_montreal:place jacques cartier|old_montreal:place jacques cartier,,aerial_obliques_1960_1992,exact source place signal (2)|model place signal (3)|aerial linkage|original source link|dated record
10,52.925,old_port,mtl_archives_metadata_16620.json,Hangars du port de Montréal pour la future Cité du cinéma / Réal Benny . - 8 février 1980,1980,1980s,VM94-B251,http://depot.ville.montreal.qc.ca/vues-aeriennes-obliques-1960-1969/VM94-B251-001.tif,old_port:port de montréal|old_port:vieux-port|old_port:port de montréal,,,aerial_obliques_1960_1992,exact source place signal (3)|aerial linkage|original source link|dated record
11,52.925,both,mtl_archives_metadata_17150.json,"Port de Montréal, Centre-ville, Vieux-Montréal, Jardin botanique, etc. / Rhéal Benny . - 22 octobre 1987",1987,1987,VM94-B267,http://depot.ville.montreal.qc.ca/vues-aeriennes-obliques-1960-1969/VM94-B267-001.tif,old_port:port de montréal|old_montreal:vieux-montreal|old_port:port de montréal,,,aerial_obliques_1960_1992,exact source place signal (3)|aerial linkage|original source link|dated record
12,51.925,old_port,mtl_archives_metadata_147.json,Vue aérienne verticale du port de Montréal,1925-1935,1925,,http://depot.ville.montreal.qc.ca/vues-aeriennes-1925-1939/VM97-3_01-041.tif,old_port:port de montréal|old_port:port de montréal,,vf-metadata_duplicate-metadata-duplicate-vue-aerienne-verticale-du-port-de-montreal-1925-50a5e77f,aerial_1925_1935,"exact source place signal (2)|themes: waterfront, industrial|aerial linkage|visual family available|original source link|dated record"
13,48.475,old_port,mtl_archives_metadata_12129.json,Port de Montréal / Louis-Philippe Meunier . - 31 juillet 1969,1969,1969,VM94-B058,http://depot.ville.montreal.qc.ca/vues-aeriennes-obliques-1960-1969/VM94-B058-001.tif,old_port:port de montréal|old_port:port de montréal,,,aerial_obliques_1960_1992,"exact source place signal (2)|themes: waterfront, industrial|aerial linkage|original source link|dated record"
